,data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
72,2017-10-13,2017-10-13T00:00:00.0000000Z,2017-03-14T20:03:53.7061506Z,2017-10-13T00:00:00.0000000Z,2017-03-14T20:03:53.7061506Z,2016-03-27,2,204837.0,2017-10-13T00:00:00.0000000Z,2016-03-27T23:17:37.0000000Z,BTCX,bt.cx,https://bt.cx/en/
73,2017-09-05,2017-09-05T00:00:00.0000000Z,2017-03-18T22:53:36.3146226Z,2017-09-05T00:00:00.0000000Z,2017-03-18T22:53:36.3146226Z,2017-03-16,2,203767.0,2017-09-04T00:00:00.0000000Z,2017-03-16T21:20:22.0000000Z,BITVC,BitVC.com,https://www.bitvc.com/
74,2019-05-22,2019-05-22T08:20:59.2952017Z,2018-01-24T00:21:49.7672137Z,2019-05-22T11:43:08.6170371Z,2018-01-24T00:21:49.7672137Z,2017-12-30,32,177165.0,2019-05-22T12:27:35.0000000Z,2017-12-30T06:24:58.0000000Z,KUNA,Kuna,https://kuna.io/
75,2019-05-22,2019-05-22T08:26:52.6000000Z,2018-01-24T00:21:43.7267644Z,2019-05-22T11:44:54.7670000Z,2018-01-24T00:21:43.7267644Z,2017-12-16,103,107234.0,2019-05-22T13:01:36.5500000Z,2017-12-16T15:03:35.6420000Z,BRAZILIEX,Braziliex,https://braziliex.com/
76,2019-05-22,2019-05-22T08:15:10.1791739Z,2017-03-14T20:05:15.5379982Z,2019-05-22T10:48:58.9478889Z,2017-03-14T20:05:15.5379982Z,2017-03-11,1,101317.0,2019-05-21T19:31:43.0000000Z,2017-03-11T00:14:42.0000000Z,PAYMIUM,Paymium,https://www.paymium.com
77,2019-05-22,2019-05-22T08:24:02.9540000Z,2018-01-24T00:42:50.1443495Z,2019-05-22T11:36:14.3069785Z,2018-01-24T00:42:50.1443495Z,2013-03-15,4,95831.0,2019-05-22T12:55:17.0000000Z,2013-03-15T12:48:43.0000000Z,BIT2C,Bit2C,https://www.bit2c.co.il/
78,2019-05-22,2019-05-22T08:17:41.5690000Z,2018-01-24T00:21:35.8644461Z,2019-05-22T08:55:14.6920000Z,2018-01-24T00:21:35.8644461Z,2013-01-07,2,93930.0,2018-06-28T00:00:00.0000000Z,2013-01-07T06:17:04.0000000Z,FYBSG,FYB-SG,https://www.fybsg.com/
79,2018-03-09,2018-03-09T00:00:00.0000000Z,2017-03-14T20:04:56.4842821Z,2018-03-09T00:00:00.0000000Z,2017-03-14T20:04:56.4842821Z,2013-09-28,23,82159.0,2018-03-09T00:00:00.0000000Z,2013-09-28T22:40:50.0000000Z,YUNBI,YUNBI,https://yunbi.com/
80,2019-05-22,2019-05-22T08:22:07.3985539Z,2017-08-29T15:47:11.5174742Z,2019-05-22T11:41:19.8259568Z,2017-08-29T15:47:11.5174742Z,2017-08-26,2,57871.0,2019-05-22T11:07:44.0000000Z,2017-08-26T12:22:43.0000000Z,BITKONAN,BitKonan,https://bitkonan.com/
81,2019-05-22,2019-05-22T08:16:35.4009027Z,2018-01-24T00:21:52.7701638Z,2019-05-22T10:32:08.7810000Z,2018-01-24T00:21:52.7701638Z,2013-07-15,1,21655.0,2018-02-26T00:00:00.0000000Z,2013-07-15T20:40:11.0000000Z,FYBSE,FYB-SE,https://www.fybse.se/
82,2018-06-19,2018-06-19T00:00:00.0000000Z,2017-09-21T13:35:08.7798904Z,2018-06-19T00:00:00.0000000Z,2017-09-21T13:35:08.7798904Z,2017-09-20,1,18792.0,2018-06-11T00:00:00.0000000Z,2017-09-20T12:51:00.5840000Z,BTCC,BTCC,https://www.btcc.com/
83,2019-05-22,2019-05-22T07:53:13.6372729Z,2018-01-24T00:21:48.4137019Z,2019-05-22T09:09:10.8536952Z,2018-01-24T00:21:48.4137019Z,2017-09-10,28,17988.0,2019-05-20T14:59:39.0000000Z,2017-09-10T07:59:21.0000000Z,COINGI,Coingi,https://coingi.com/
